Source/Request	Already?	Know? (grade)	APP	POPULAR	Title	Artist	Other Artist	Papon Artist	Duplicate	Year	Decade	Genre	Crowd hit	Country?	Gig notes	MP3	Lyrics	Melody	Chords	Needs?	SIB DONE	PDF DONE	FORSCORE/TYPE
					Every Little Thing						60s-70s												BFB
PRF 4th only			LEARN		Everything I Do, I Do It For You					1991													PRF 4th (don't have)
					Every Little Thing She Does Is Magic																		PRF
PRF 4th only			Y		Georgia On My Mind	Ray Charles						R&B/soul											PRF
					Everybody Have Fun Tonight																		PRF
			Y		Creep (Radiohead)	Radiohead				1993		Rock											
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Bohemian Rhapsody	Queen					70s												yes
					Everybody Plays The Fool, Sometime																		RBF
Tuzzy Braddy/Tuz Piano 6/7/16					Everybody Talks						10s												yes
					Everybody's Got Something To Hide Except Me And My Monkey						60s-70s												BFB
					Everybody's Trying To Be My Baby						60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16					Everything						10s												yes
Tuzzy Braddy/Tuz Piano 6/7/16					Everything Falls Apart						90s												yes
PRF 3rd only					Everything She Wants																		PRF
					Everytime I Close My Eyes																		RBF
					Everytime You Go Away																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Fat Bottom Girls	Queen						Favorites											yes
					Exhale (Shoop Shoop) (from the Original Soundtrack Album WAITING TO EXHALE)																		RBF
					Eye In The Sky																		CRF
					Eye In The Sky																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Eye of the Tiger						80s												yes
					Faith																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Faith						80s												yes
			Y		Killer Queen	Queen																	CRF
			Y		Somebody To Love	Queen																	CRF
					Fame																		CRF
Tuzzy Braddy/Tuz Piano 6/7/16					Fame						80s												yes
			Y		We Are The Champions	Queen																	CRF
					Fantasy																		PRF
			Y		We Will Rock You	Queen																	CRF
					Fast Car																		PRF
			Y		You're My Best Friend	Queen																	CRF
Tuzzy Braddy/Tuz Piano 6/7/16					Feel Like Makin' Love	Bad Company					60-70				Etzel								yes
PRF 4th only					Fever																		PRF
					Fields Of Gold	Sting																	CRF
					Fingertips (Part 2)	Stevie Wonder																	RBF
PRF 4th only					Fingertips (Part 2)																		
					Fire	Ohio Players																	RBF
					Fire And Ice	Pat Benatar																	CRF
Tuzzy Braddy/Tuz Piano 6/7/16					Fire And Rain	James Taylor					70s												yes
					Fired	Ben Folds					00s												PV
Tuzzy Braddy/Tuz Piano 6/7/16					Firework	Katy Perry					10s												yes
					Fixing A Hole	Beatles, the					60s-70s												BFB
					Flashdance...What A Feeling (from the Paramount Picture FLASHDANCE)																		PRF
			Y		I'll Be Missing You	Puff Daddy & Faith Evans (featuring 112)																	RBF
					Flying						60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16					Follow You Down						90s												yes
05/14/16 Fleischman party					Fool in the Rain																		LC
					Fooling Yourself (The Angry Young Man)																		CRF
					Fools Fall In Love																		RBF
			Y		A Whiter Shade Of Pale	Procol Harum				1967		Prog rock, Pop											CRF
Tuzzy Braddy/Tuz Piano 6/7/16					Footloose						80s												yes
					Footloose (Theme from the Paramount Motion Picture FOOTLOOSE)																		PRF
					For No One						60s-70s												BFB
05/07/16 Irizarry wedding	X				For once in my life							Pop											FB
					For Once In My Life																		RBF
PRF 4th only					For Once In My Life																		
Tuzzy Braddy/Tuz Piano 6/7/16					For What It's Worth						60s												yes
					For You Blue						60s-70s												BFB
					For Your Love																		CRF
					For Your Precious Love																		RBF
					For Your Precious Love																		PRF
					Forever																		RBF
Tuzzy Braddy/Tuz Piano 6/7/16			Y		Peaches	Presidents of the USA, the																	yes
					Forever Your Girl																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Forget You						10s												yes
PRF 4th only			Y		You'll Be In My Heart	Phil Collins						Disney											PRF 4th (don't have)
